       Unnamed: 0  true_is_max  ...  random_probabilitiesaverage_dist_from_max  random_probabilitiesaverage_dist
count    50.00000    50.000000  ...                                  50.000000                         50.000000
mean     24.50000     0.340000  ...                                   0.664777                          0.559294
std      14.57738     0.478518  ...                                   0.294190                          0.111449
min       0.00000     0.000000  ...                                   0.000000                          0.243212
25%      12.25000     0.000000  ...                                   0.492552                          0.494718
50%      24.50000     0.000000  ...                                   0.736403                          0.572146
75%      36.75000     1.000000  ...                                   0.917915                          0.612131
max      49.00000     1.000000  ...                                   1.000000                          0.817007

[8 rows x 13 columns]
